methods,w,lambda_,avg_val_final_wealth,avg_val_sharpe,avg_val_max_drawdown,threshold,num_neighbors,rho
"{'sample_selection': <function histogram_based_selection at 0x0000023635B345E0>, 'portfolio_optimization': <function semi_log_optimal_portfolio at 0x0000023635B34900>}",3,,4.18182178762391,0.7032952520921161,-0.5803283669024804,,,
"{'sample_selection': <function kernel_based_selection at 0x0000023635B34680>, 'portfolio_optimization': <function markowitz_portfolio at 0x0000023635B349A0>}",5,0.7,3.1028839011388194,0.7000634339567249,-0.5804736000672202,0.2,,
"{'sample_selection': <function histogram_based_selection at 0x0000023635B345E0>, 'portfolio_optimization': <function markowitz_portfolio at 0x0000023635B349A0>}",3,0.6,3.705263849215446,0.6990751539879277,-0.5744139009219702,,,
"{'sample_selection': <function histogram_based_selection at 0x0000023635B345E0>, 'portfolio_optimization': <function markowitz_portfolio at 0x0000023635B349A0>}",3,0.7,3.451239759571428,0.69671836645057,-0.5673545997162996,,,
"{'sample_selection': <function kernel_based_selection at 0x0000023635B34680>, 'portfolio_optimization': <function semi_log_optimal_portfolio at 0x0000023635B34900>}",5,,3.1742482455239993,0.6958455167611696,-0.5809291529527272,0.2,,
"{'sample_selection': <function histogram_based_selection at 0x0000023635B345E0>, 'portfolio_optimization': <function markowitz_portfolio at 0x0000023635B349A0>}",3,0.8,3.3502246732079257,0.6873727985946301,-0.553585298620035,,,
"{'sample_selection': <function histogram_based_selection at 0x0000023635B345E0>, 'portfolio_optimization': <function markowitz_portfolio at 0x0000023635B349A0>}",6,0.9,3.2456646255638524,0.6859766900732928,-0.5762667688991969,,,
"{'sample_selection': <function kernel_based_selection at 0x0000023635B34680>, 'portfolio_optimization': <function markowitz_portfolio at 0x0000023635B349A0>}",5,0.8,3.057229762870098,0.6847370288759488,-0.5799029456387311,0.2,,
"{'sample_selection': <function kernel_based_selection at 0x0000023635B34680>, 'portfolio_optimization': <function markowitz_portfolio at 0x0000023635B349A0>}",5,0.9,2.9331192866448847,0.6837950620847002,-0.579921175666311,0.2,,
"{'sample_selection': <function histogram_based_selection at 0x0000023635B345E0>, 'portfolio_optimization': <function markowitz_portfolio at 0x0000023635B349A0>}",3,0.9,3.157274936126977,0.6739154635534793,-0.5512069263224032,,,
"{'sample_selection': <function histogram_based_selection at 0x0000023635B345E0>, 'portfolio_optimization': <function markowitz_portfolio at 0x0000023635B349A0>}",6,0.8,3.120018224339487,0.6521180158106124,-0.5821918066215843,,,
"{'sample_selection': <function histogram_based_selection at 0x0000023635B345E0>, 'portfolio_optimization': <function markowitz_portfolio at 0x0000023635B349A0>}",6,0.7,3.1466161301549582,0.6388501617612306,-0.5970847511102267,,,
"{'sample_selection': <function histogram_based_selection at 0x0000023635B345E0>, 'portfolio_optimization': <function markowitz_portfolio at 0x0000023635B349A0>}",6,0.6,3.1341817097296865,0.6115757475540027,-0.611462999433336,,,
"{'sample_selection': <function histogram_based_selection at 0x0000023635B345E0>, 'portfolio_optimization': <function semi_log_optimal_portfolio at 0x0000023635B34900>}",6,,3.113727067201053,0.591555649956651,-0.6246267959094682,,,
