algorithm,gamma,alpha,final_wealth,exp_growth,sharpe
follow_the_leader,1.0,2.0,12.158396010725147,0.0008274329118333194,0.7552837398157154
follow_the_leader,1.0,0.3,12.158396010725147,0.0008274329118333194,0.7552837398157154
follow_the_leader,1.0,0.4,12.158396010725147,0.0008274329118333194,0.7552837398157154
follow_the_leader,1.0,0.2,12.158396010725147,0.0008274329118333194,0.7552837398157154
follow_the_leader,1.0,0.1,12.158396010725147,0.0008274329118333194,0.7552837398157154
follow_the_leader,1.0,0.7,12.158396010725147,0.0008274329118333194,0.7552837398157154
follow_the_leader,1.0,0.6,12.158396010725147,0.0008274329118333194,0.7552837398157154
follow_the_leader,1.0,1.9,12.158396010725147,0.0008274329118333194,0.7552837398157154
follow_the_leader,1.0,1.2,12.158396010725147,0.0008274329118333194,0.7552837398157154
follow_the_leader,1.0,1.8,12.158396010725147,0.0008274329118333194,0.7552837398157154
follow_the_leader,1.0,1.0,12.158396010725147,0.0008274329118333194,0.7552837398157154
follow_the_leader,1.0,0.5,12.158396010725147,0.0008274329118333194,0.7552837398157154
follow_the_leader,1.0,0.9,12.158396010725147,0.0008274329118333194,0.7552837398157154
follow_the_leader,1.0,1.5,12.158396010725147,0.0008274329118333194,0.7552837398157154
follow_the_leader,1.0,1.7,12.158396010725147,0.0008274329118333194,0.7552837398157154
follow_the_leader,1.0,1.3,12.158396010725147,0.0008274329118333194,0.7552837398157154
follow_the_leader,1.0,1.6,12.158396010725147,0.0008274329118333194,0.7552837398157154
follow_the_leader,1.0,1.1,12.158396010725147,0.0008274329118333194,0.7552837398157154
follow_the_leader,1.0,1.4,12.158396010725147,0.0008274329118333194,0.7552837398157154
follow_the_leader,1.0,0.8,12.158396010725147,0.0008274329118333194,0.7552837398157154
follow_the_leader,0.95,0.1,11.730382832006507,0.0008155622057411431,0.7363088287688393
follow_the_leader,0.9,0.1,11.69157232923808,0.0008144644811238116,0.7355410719335226
follow_the_leader,0.85,0.1,11.660264040822252,0.0008135762920425428,0.7348161121952336
follow_the_leader,0.8,0.1,11.635097935351643,0.0008128606207434629,0.7342011408698533
follow_the_leader,0.75,0.1,11.613998358030395,0.0008122593989968114,0.733670473163652
follow_the_leader,0.7,0.1,11.595847357248076,0.000811741320826679,0.7332059647612413
follow_the_leader,0.65,0.1,11.579941417364267,0.0008112866555755242,0.7327942547732258
follow_the_leader,0.6,0.1,11.565789792572792,0.0008108816114509953,0.7324250256357958
follow_the_leader,0.55,0.1,11.553034599230555,0.0008105161107396148,0.7320902522144853
follow_the_leader,0.5,0.1,11.541410359263134,0.0008101826659334729,0.7317837285909803
follow_the_leader,0.45,0.1,11.530719287810479,0.0008098756927328117,0.7315007056604199
follow_the_leader,0.4,0.1,11.520814216522815,0.0008095910338813322,0.7312375917596248
follow_the_leader,0.35,0.1,11.51158604247182,0.0008093256078681504,0.7309917032377088
follow_the_leader,0.3,0.1,11.502954343741006,0.0008090771453567172,0.7307610614746609
follow_the_leader,0.25,0.1,11.494860378315776,0.0008088439919987943,0.7305442322823097
follow_the_leader,0.2,0.1,11.487261872885584,0.0008086249613214876,0.7303402010241223
follow_the_leader,0.15,0.1,11.480129107558945,0.0008084192239586702,0.7301482754414051
follow_the_leader,0.1,0.1,11.473441896502806,0.0008082262220230196,0.7299680084952758
follow_the_leader,0.05,0.1,11.467187164156146,0.0008080456001669317,0.7297991349713728
follow_the_leader,0.0,0.1,11.461356914474347,0.0008078771476256174,0.72964151751882
follow_the_leader,0.95,0.2,11.450507024007443,0.0008075634351084966,0.7200023897569647
follow_the_leader,0.9,0.2,11.382555519279185,0.0008055919065301946,0.7186750383978001
follow_the_leader,0.85,0.2,11.32505383833679,0.0008039143508760588,0.7173330597098302
follow_the_leader,0.8,0.2,11.277932033061136,0.0008025332556675916,0.7161660419534193
follow_the_leader,0.75,0.2,11.237943529493188,0.0008013566968257098,0.7151434949590681
follow_the_leader,0.7,0.2,11.203249731406657,0.0008003325242809628,0.7142387151806838
follow_the_leader,0.65,0.2,11.172659081776626,0.0007994268434631428,0.7134303368973284
follow_the_leader,0.6,0.2,11.145319503947109,0.0007986153144567754,0.7127009786714157
follow_the_leader,0.55,0.2,11.120596495398823,0.000797879738011371,0.7120366263617214
follow_the_leader,0.5,0.2,11.0980115054879,0.0007972063427030174,0.711426164967764
follow_the_leader,0.45,0.2,11.077203566221051,0.0007965847180339121,0.7108609395069058
follow_the_leader,0.4,0.2,11.057901745260141,0.0007960070428875365,0.7103343300525834
follow_the_leader,0.35,0.2,11.039904045555804,0.0007954674889981568,0.7098413580016731
follow_the_leader,0.3,0.2,11.02306107984698,0.0007949617555790642,0.709378343343723
follow_the_leader,0.25,0.2,11.00726358144053,0.0007944867109853794,0.7089426217074546
follow_the_leader,0.2,0.2,10.99243294651842,0.0007940401199483696,0.7085323183112261
follow_the_leader,0.15,0.2,10.9785140507418,0.0007936204354316356,0.7081461690495032
follow_the_leader,0.1,0.2,10.96546967766999,0.0007932266363740709,0.7077833769638938
follow_the_leader,0.05,0.2,10.953276038571552,0.0007928580964297205,0.7074434936417688
follow_the_leader,0.0,0.2,10.941919023752478,0.000792514473374096,0.7071263180152516
follow_the_leader,0.95,0.3,11.277773573426325,0.0008025286016382633,0.7057251987415053
follow_the_leader,0.9,0.3,11.186685343708387,0.0007998424188506489,0.7039908536468659
follow_the_leader,0.85,0.3,11.106183192973116,0.000797450148273811,0.7021214633033882
follow_the_leader,0.8,0.3,11.03914688715704,0.000795444770834405,0.7004607785154301
