gamma,alpha,avg_val_final_wealth,avg_val_sharpe,avg_val_max_drawdown
0.8,1.5,2.031441329381228,0.7440939226211413,-0.31755818328735946
0.9,1.5,2.0215266339164786,0.7379020322763746,-0.31857540679824803
1.0,1.5,2.012911789969279,0.7324775305734721,-0.3193490793938774
1.1,1.5,2.0056591700985416,0.7278310652492307,-0.3198976627526671
0.8,2.0,2.104070390958618,0.6807407522532979,-0.34907239090385694
0.9,2.0,2.0893952530668467,0.6727298923504195,-0.3504799471403066
1.0,2.0,2.076346041583352,0.6657360759990741,-0.35153062482314795
1.1,2.0,2.0650220510099846,0.6597667741255234,-0.35225547085241266
0.8,2.5,2.1933824027025857,0.6221507557923972,-0.38230665724961754
0.9,2.5,2.1729131906754775,0.6128065600786943,-0.3839453270026355
1.0,2.5,2.1542939035568076,0.6046631816117223,-0.38514260325972965
1.1,2.5,2.1376091267919923,0.5977100783809088,-0.38594172950317784
0.8,3.0,2.2862452752024183,0.581869638199968,-0.40871718671629054
0.9,3.0,2.258752615201445,0.5715187084125805,-0.41048291257250336
1.0,3.0,2.233303437057717,0.5624797298911529,-0.411741325597703
1.1,3.0,2.209931457783074,0.5547149048919079,-0.4125498686415022
