eta,learning_rate,drop_threshold,avg_val_final_wealth,avg_val_sharpe,avg_val_max_drawdown
0.35,0.07,0.55,1.8400696408432495,0.6927082752525651,-0.3610627496343211
0.35,0.07,0.5,1.8400696408432495,0.6927082752525651,-0.3610627496343211
0.35,0.1,0.5,1.8400696408432495,0.6927082752525651,-0.3610627496343211
0.35,0.1,0.55,1.8400696408432495,0.6927082752525651,-0.3610627496343211
0.35,0.05,0.55,1.8400696408432495,0.6927082752525651,-0.3610627496343211
0.35,0.05,0.5,1.8400696408432495,0.6927082752525651,-0.3610627496343211
0.35,0.03,0.5,1.8400696408432495,0.6927082752525651,-0.3610627496343211
0.35,0.03,0.55,1.8400696408432495,0.6927082752525651,-0.3610627496343211
0.45,0.03,0.55,1.7266615157183485,0.6643339012043752,-0.34450806660597977
0.45,0.03,0.5,1.7266615157183485,0.6643339012043752,-0.34450806660597977
0.45,0.05,0.5,1.7266615157183485,0.6643339012043752,-0.34450806660597977
0.45,0.05,0.55,1.7266615157183485,0.6643339012043752,-0.34450806660597977
0.45,0.1,0.55,1.7266615157183485,0.6643339012043752,-0.34450806660597977
0.45,0.1,0.5,1.7266615157183485,0.6643339012043752,-0.34450806660597977
0.45,0.07,0.5,1.7266615157183485,0.6643339012043752,-0.34450806660597977
0.45,0.07,0.55,1.7266615157183485,0.6643339012043752,-0.34450806660597977
0.4,0.07,0.55,1.7092428139552822,0.652987477726173,-0.3518231119791217
0.4,0.07,0.5,1.7092428139552822,0.652987477726173,-0.3518231119791217
0.4,0.1,0.5,1.7092428139552822,0.652987477726173,-0.3518231119791217
0.4,0.1,0.55,1.7092428139552822,0.652987477726173,-0.3518231119791217
0.4,0.05,0.55,1.7092428139552822,0.652987477726173,-0.3518231119791217
0.4,0.05,0.5,1.7092428139552822,0.652987477726173,-0.3518231119791217
0.4,0.03,0.5,1.7092428139552822,0.652987477726173,-0.3518231119791217
0.4,0.03,0.55,1.7092428139552822,0.652987477726173,-0.3518231119791217
0.3,0.03,0.55,1.654574692126986,0.5912379528038706,-0.38076757249189275
0.3,0.03,0.5,1.654574692126986,0.5912379528038706,-0.38076757249189275
0.3,0.05,0.5,1.654574692126986,0.5912379528038706,-0.38076757249189275
0.3,0.05,0.55,1.654574692126986,0.5912379528038706,-0.38076757249189275
0.3,0.1,0.55,1.654574692126986,0.5912379528038706,-0.38076757249189275
0.3,0.1,0.5,1.654574692126986,0.5912379528038706,-0.38076757249189275
0.3,0.07,0.5,1.654574692126986,0.5912379528038706,-0.38076757249189275
0.3,0.07,0.55,1.654574692126986,0.5912379528038706,-0.38076757249189275
0.45,0.1,0.45,1.5809841465297672,0.5646450097402785,-0.35667957827359265
0.45,0.1,0.4,1.5809841465297672,0.5646450097402785,-0.35667957827359265
0.45,0.07,0.4,1.5809824507042574,0.5646425893633971,-0.3566803242735619
0.45,0.07,0.45,1.5809824507042574,0.5646425893633971,-0.3566803242735619
0.45,0.05,0.4,1.5809813201548617,0.56464097577064,-0.3566808216069224
0.45,0.05,0.45,1.5809813201548617,0.56464097577064,-0.3566808216069224
0.45,0.03,0.45,1.5809801896062274,0.5646393621713556,-0.3566813189403198
0.45,0.03,0.4,1.5809801896062274,0.5646393621713556,-0.3566813189403198
0.4,0.1,0.4,1.5626807089992782,0.5466207772726317,-0.3593606580390894
0.4,0.1,0.45,1.5626807089992782,0.5466207772726317,-0.3593606580390894
0.4,0.07,0.45,1.5626788700241052,0.5466181257080955,-0.3593616006650138
0.4,0.07,0.4,1.5626788700241052,0.5466181257080955,-0.3593616006650138
0.4,0.05,0.45,1.5626776440417243,0.5466163579887102,-0.35936222908216514
0.4,0.05,0.4,1.5626776440417243,0.5466163579887102,-0.35936222908216514
0.4,0.03,0.4,1.562676418060204,0.5466145902615895,-0.35936285749921015
0.4,0.03,0.45,1.562676418060204,0.5466145902615895,-0.35936285749921015
0.35,0.1,0.4,1.5418210450497418,0.5270727817295858,-0.36232121794945144
0.35,0.1,0.45,1.5418210450497418,0.5270727817295858,-0.36232121794945144
0.35,0.07,0.45,1.5418190375128844,0.5270698730919727,-0.36232247775137594
0.35,0.07,0.4,1.5418190375128844,0.5270698730919727,-0.36232247775137594
0.35,0.05,0.45,1.5418176991561787,0.5270679339883434,-0.36232331761926717
0.35,0.05,0.4,1.5418176991561787,0.5270679339883434,-0.36232331761926717
0.35,0.03,0.4,1.5418163608004498,0.5270659948752174,-0.3623241574871089
0.35,0.03,0.45,1.5418163608004498,0.5270659948752174,-0.3623241574871089
0.3,0.1,0.45,1.5188526917977894,0.5060982496604451,-0.366633754343795
0.3,0.1,0.4,1.5188526917977894,0.5060982496604451,-0.366633754343795
0.3,0.07,0.4,1.518850578542903,0.5060950464040672,-0.36663519176881226
0.3,0.07,0.45,1.518850578542903,0.5060950464040672,-0.36663519176881226
0.3,0.05,0.4,1.5188491697075994,0.5060929108849685,-0.36663615005222094
0.3,0.05,0.45,1.5188491697075994,0.5060929108849685,-0.36663615005222094
0.3,0.03,0.45,1.5188477608733413,0.5060907753540149,-0.3666371083356751
0.3,0.03,0.4,1.5188477608733413,0.5060907753540149,-0.3666371083356751
