algorithm,learning_rate,smoothing,final_wealth,exp_growth,sharpe
exponential_gradient,0.001,0.0,12.158396010725147,0.0008274329118333194,0.7552837398157154
exponential_gradient,0.005,0.0,12.158396010725147,0.0008274329118333194,0.7552837398157154
exponential_gradient,0.05,0.0,12.158396010725147,0.0008274329118333194,0.7552837398157154
exponential_gradient,0.01,0.0,12.158396010725147,0.0008274329118333194,0.7552837398157154
exponential_gradient,0.5,0.0,12.158396010725147,0.0008274329118333194,0.7552837398157154
exponential_gradient,1.0,0.0,12.158396010725147,0.0008274329118333194,0.7552837398157154
exponential_gradient,0.2,0.0,12.158396010725147,0.0008274329118333194,0.7552837398157154
exponential_gradient,0.1,0.0,12.158396010725147,0.0008274329118333194,0.7552837398157154
exponential_gradient,0.001,0.1,12.158176932763524,0.0008274269433606915,0.7552661263954282
exponential_gradient,0.001,0.3,12.157738690273808,0.0008274150037343027,0.755230898529977
exponential_gradient,0.001,0.5,12.157300332431566,0.0008274030605346527,0.7551956693010311
exponential_gradient,0.005,0.1,12.157300332431515,0.0008274030605346514,0.7551956693010301
exponential_gradient,0.001,0.7,12.156861859314784,0.0008273911137634954,0.7551604387120577
exponential_gradient,0.001,0.9,12.15642327100311,0.0008273791634226301,0.7551252067665507
exponential_gradient,0.001,1.0,12.15620393367345,0.0008273731869141021,0.7551075902861737
exponential_gradient,0.01,0.1,12.156203933673446,0.0008273731869141021,0.755107590286173
exponential_gradient,0.005,0.3,12.155106815680691,0.0008273432909993856,0.7550195028254502
exponential_gradient,0.005,0.5,12.152910426907818,0.000827283432398279,0.7548433027831473
exponential_gradient,0.01,0.3,12.1518111585837,0.0008272534697672548,0.7547551903096685
exponential_gradient,0.005,0.7,12.150711175939092,0.0008272234849528554,0.7546670696065819
exponential_gradient,0.005,0.9,12.148509072600396,0.0008271634488847364,0.7544908037268737
exponential_gradient,0.01,0.5,12.14740695436295,0.0008271333976864532,0.754402658657706
exponential_gradient,0.05,0.1,12.14740695436289,0.0008271333976864514,0.7544026586577028
exponential_gradient,0.005,1.0,12.147406954362607,0.0008271333976864438,0.7544026586576973
exponential_gradient,0.01,0.7,12.142991399607281,0.0008270129724452229,0.754049998768334
exponential_gradient,0.01,0.9,12.138564572888999,0.0008268921958181615,0.7536972140578035
exponential_gradient,0.1,0.1,12.136346957089716,0.0008268316762897627,0.7535207759562127
exponential_gradient,0.01,1.0,12.136346957089488,0.0008268316762897565,0.7535207759562059
exponential_gradient,0.05,0.3,12.125217246221558,0.0008265277753816445,0.752638144834693
exponential_gradient,0.2,0.1,12.114019047696589,0.0008262217227320464,0.7517548175654782
exponential_gradient,0.05,0.5,12.102753585649845,0.0008259135461327443,0.7508708455705247
exponential_gradient,0.1,0.3,12.091422081993692,0.0008256032733876823,0.7499862794220794
exponential_gradient,0.05,0.7,12.080025755994384,0.0008252909323031258,0.7491011688430333
exponential_gradient,0.05,0.9,12.057043498227939,0.0008246601562916015,0.7473295090378304
exponential_gradient,0.1,0.5,12.045459987919184,0.0008243417768979984,0.7464430550102398
exponential_gradient,0.5,0.1,12.045459987918969,0.0008243417768979926,0.7464430550102324
exponential_gradient,0.05,1.0,12.045459987918479,0.000824341776897979,0.7464430550102202
exponential_gradient,0.2,0.3,12.022114226071107,0.0008236991738959328,0.7446691303249927
exponential_gradient,0.1,0.7,11.998538113565607,0.0008230489627351233,0.7428941490263586
exponential_gradient,0.1,0.9,11.950732671667714,0.0008217265942148656,0.7393423897941223
exponential_gradient,1.0,0.1,11.926521984927197,0.0008210548719422678,0.7375662641731502
exponential_gradient,0.2,0.5,11.926521984926994,0.0008210548719422623,0.7375662641731452
exponential_gradient,0.1,1.0,11.926521984926385,0.0008210548719422454,0.7375662641731284
exponential_gradient,0.2,0.7,11.827837311806416,0.0008183026987076441,0.7304670865893592
exponential_gradient,0.5,0.3,11.802749303601944,0.0008175993693818851,0.7286949762431146
exponential_gradient,0.2,0.9,11.726617574821155,0.0008154558676017985,0.7233889063356684
exponential_gradient,0.2,1.0,11.675217330254299,0.0008140008010575617,0.719862105495508
exponential_gradient,0.5,0.5,11.544864689471206,0.0008102817894888266,0.7110916147992259
exponential_gradient,1.0,0.3,11.412448860121257,0.0008064606707089081,0.7023982596121442
exponential_gradient,0.5,0.7,11.278504826461086,0.000802550078316868,0.6937874526701276
exponential_gradient,0.5,0.9,11.006858786266442,0.0007944745294836068,0.6767894170103627
exponential_gradient,1.0,0.5,10.868849768769833,0.0007902950905907938,0.6683690807662006
exponential_gradient,0.5,1.0,10.868849768769497,0.0007902950905907836,0.6683690807661932
exponential_gradient,1.0,0.7,10.285410124005843,0.0007720193435728034,0.6345386742410694
exponential_gradient,1.0,0.9,9.590725643224054,0.0007488560956237303,0.5988277233924184
exponential_gradient,1.0,1.0,9.174248841659182,0.000734150553319047,0.579700504706698
