algorithm,learning_rate,num_base_portfolios,final_wealth,exp_growth,sharpe
aggregation_based_simple,0.4,1,15.613817095796806,0.0009102869272983593,0.8284434960022174
aggregation_based_simple,0.8,1,13.680177358017028,0.0008664948250671378,0.8251497194954692
aggregation_based_simple,0.2,2,14.65358641134006,0.0008892630380052123,0.8159543314214003
aggregation_based_simple,0.2,3,13.984397778759293,0.0008737801469976913,0.7970550474275466
aggregation_based_simple,1.0,2,13.774662433988986,0.0008687747098506723,0.7955265445074277
aggregation_based_simple,0.5,5,13.881038017792568,0.000871322867646885,0.7945677885557259
aggregation_based_simple,0.5,1,14.245590115404704,0.0008799097029594796,0.7922149051673879
aggregation_based_simple,0.01,1,12.95320188861077,0.0008484077534514924,0.7911816886880207
aggregation_based_simple,0.1,2,13.797875671024478,0.0008693324423422912,0.7908107251572175
aggregation_based_simple,0.05,5,13.416349179501628,0.0008600444025428435,0.7890366479464873
aggregation_based_simple,0.6,4,13.034754556872478,0.0008504866570594697,0.7855065045708096
aggregation_based_simple,0.01,5,13.146705945109856,0.0008533193868079026,0.7815207932033593
aggregation_based_simple,0.8,5,12.88313032425934,0.000846611039663839,0.7805945644617143
aggregation_based_simple,0.1,5,13.345650425462395,0.0008582943096825414,0.7805287120006539
aggregation_based_simple,0.4,3,13.707408232845864,0.0008671535056661816,0.7757782120930786
aggregation_based_simple,0.7,1,12.99837771136134,0.0008495609666249403,0.7740601878243277
aggregation_based_simple,0.1,1,13.363434960322962,0.0008587354232761035,0.7729839331464187
aggregation_based_simple,2.0,3,13.393066669145483,0.0008594690825777942,0.7728805999013972
aggregation_based_simple,0.5,4,12.549471909172778,0.0008379193725545123,0.7707128282926559
aggregation_based_simple,0.1,10,12.607761394295235,0.0008394543252704825,0.7679863612930543
aggregation_based_simple,0.2,5,13.111384933910736,0.0008524282648894215,0.7679148502003311
aggregation_based_simple,0.01,2,12.371237305911526,0.0008331812541014813,0.7672138282553114
aggregation_based_simple,0.1,50,12.237633649001337,0.0008295846071757866,0.7651435434434782
aggregation_based_simple,0.9,2,13.698166806426967,0.0008669301139883735,0.7646876165363065
aggregation_based_simple,1.0,3,12.618858705587053,0.0008397457494700536,0.7646868708141237
aggregation_based_simple,0.2,4,12.998903665982068,0.0008495743691683611,0.7639530946772257
aggregation_based_simple,2.0,100,12.513770873900206,0.0008369757230299096,0.7627376814665777
aggregation_based_simple,2.0,1,14.007774443988586,0.000874333386191239,0.7618410475336272
aggregation_based_simple,0.05,1,12.231816763685087,0.0008294271243578973,0.7614630748638506
aggregation_based_simple,2.0,5,11.906502264629774,0.0008204983967151289,0.7613067711686554
aggregation_based_simple,0.3,2,13.106899520385658,0.00085231492961406,0.7610582146139253
aggregation_based_simple,0.3,50,12.196556601994116,0.000828470906314077,0.7602250253524953
aggregation_based_simple,0.01,50,12.414448452575101,0.0008343362014187569,0.7599903330630434
aggregation_based_simple,2.0,50,12.34325740530984,0.0008324312536932212,0.7599872550886824
aggregation_based_simple,0.01,100,12.258281011300356,0.0008301429975248461,0.7597021174015895
aggregation_based_simple,0.8,50,12.35009922225595,0.0008326148053105259,0.7594770453232588
aggregation_based_simple,0.9,100,12.325992652469873,0.0008319676238621232,0.7592744413380166
aggregation_based_simple,0.05,4,11.453936164523334,0.000807662617009707,0.7591754369625099
aggregation_based_simple,0.3,100,12.322209136116006,0.0008318659340931266,0.7590230626350988
aggregation_based_simple,0.4,4,13.202241948571553,0.0008547156872338921,0.7584771338305111
aggregation_based_simple,0.1,3,12.949439290604474,0.0008483115234134945,0.7582114726193104
aggregation_based_simple,0.01,10,11.911869496141458,0.0008206476779260086,0.7581268673017527
aggregation_based_simple,0.5,50,12.457891733599212,0.0008354933078111981,0.7577912358027771
aggregation_based_simple,0.05,3,12.695523829194244,0.0008417520625848769,0.7575450067402512
aggregation_based_simple,0.3,10,12.592663698968575,0.0008390574356650328,0.7566555260438567
aggregation_based_simple,0.9,10,12.104454478748595,0.000825960093937002,0.7565779756164315
aggregation_based_simple,2.0,10,12.667635778800777,0.0008410236425916914,0.7564846913689633
aggregation_based_simple,0.6,50,12.129971816814168,0.0008266576348211044,0.7560124795316899
aggregation_based_simple,0.6,2,12.50952235714328,0.0008368632470573305,0.7551094297481002
aggregation_based_simple,0.05,2,12.32760949791788,0.0008320110703833699,0.7549760972090187
aggregation_based_simple,0.05,50,11.97942776292712,0.0008225209756587199,0.7542416654486186
aggregation_based_simple,0.1,100,12.109554685754691,0.0008260996304899416,0.7541967561168327
aggregation_based_simple,1.0,100,12.07245884252702,0.000825083381771294,0.7541929988556314
aggregation_based_simple,0.9,20,12.090692286588691,0.0008255832805823862,0.7541542909445854
aggregation_based_simple,1.0,5,12.227029654952046,0.0008292974648974072,0.7537994694753265
aggregation_based_simple,0.7,2,12.629034170149149,0.000840012740095923,0.7537652668654052
aggregation_based_simple,0.7,5,11.793777575625965,0.0008173474886677293,0.7533583449219692
aggregation_based_simple,0.05,100,11.959881284710828,0.0008219800670572042,0.7533336904584594
aggregation_based_simple,0.4,100,12.105063551241422,0.0008259767606411169,0.7532504418723406
aggregation_based_simple,0.6,20,11.749342643407367,0.0008160971493154185,0.753134104237976
aggregation_based_simple,0.6,100,12.172304119499064,0.000827811598838492,0.7529615397287335
aggregation_based_simple,0.9,50,11.932976570367032,0.0008212340867683612,0.752319444104
aggregation_based_simple,1.0,20,12.368228661741764,0.000833100688919717,0.7522890549725963
aggregation_based_simple,0.4,50,12.03783232178755,0.000824131958911208,0.7521387596929731
