algorithm,learning_rate,gamma,final_wealth,exp_growth,sharpe
aggregation_algorithm_generalized,0.001,0.6,12.157781650489028,0.000827416174175941,0.7552680040958284
aggregation_algorithm_generalized,0.001,0.5,12.157568243963826,0.0008274103599212261,0.7552625854008406
aggregation_algorithm_generalized,0.001,0.4,12.157314510101813,0.000827403446816553,0.7552561806548734
aggregation_algorithm_generalized,0.001,0.3,12.156998990565622,0.0008273948501293384,0.7552482924853935
aggregation_algorithm_generalized,0.001,0.25,12.156806478464249,0.000827389604809443,0.7552435392261249
aggregation_algorithm_generalized,0.001,0.22,12.156675549666284,0.000827386037384019,0.755240341902829
aggregation_algorithm_generalized,0.001,0.2,12.15658034367032,0.0008273834432759639,0.7552380390204291
aggregation_algorithm_generalized,0.01,0.6,12.15225666229516,0.0008272656131376145,0.7551264385602285
aggregation_algorithm_generalized,0.01,0.5,12.15012502888492,0.0008272075058551887,0.7550722752426735
aggregation_algorithm_generalized,0.01,0.4,12.147591231283434,0.0008271384225116443,0.7550082586861774
aggregation_algorithm_generalized,0.01,0.3,12.144441384271374,0.0008270525226448917,0.7549294182574906
aggregation_algorithm_generalized,0.01,0.25,12.14252006168171,0.0008270001150789948,0.7548819124119834
aggregation_algorithm_generalized,0.01,0.22,12.141213624366566,0.0008269644748900233,0.7548499586294672
aggregation_algorithm_generalized,0.01,0.2,12.14026379505902,0.0008269385607178049,0.7548269449823231
aggregation_algorithm_generalized,0.05,0.6,12.127793165167134,0.000826598136611891,0.7544984673868523
aggregation_algorithm_generalized,0.05,0.5,12.117188550937152,0.0008263083756171018,0.7542281700949068
aggregation_algorithm_generalized,0.075,0.6,12.112578985467616,0.0008261823445457641,0.754106976256069
aggregation_algorithm_generalized,0.05,0.4,12.104597338378005,0.0008259640032336025,0.7539087622649551
aggregation_algorithm_generalized,0.1,0.6,12.09742216901357,0.0008257676005374123,0.7537162365269836
aggregation_algorithm_generalized,0.075,0.5,12.096721672773777,0.000825748419926622,0.7537020099422269
aggregation_algorithm_generalized,0.05,0.3,12.088965230819937,0.0008255359629397571,0.7535154539910023
aggregation_algorithm_generalized,0.125,0.6,12.0823221231711,0.0008253538929355488,0.7533262391709215
aggregation_algorithm_generalized,0.05,0.25,12.079441623660086,0.0008252749149491213,0.7532785002521024
aggregation_algorithm_generalized,0.075,0.4,12.077906654782547,0.000825232821239876,0.75322351654548
aggregation_algorithm_generalized,0.1,0.5,12.076344629830734,0.0008251899800750852,0.7531769136361938
aggregation_algorithm_generalized,0.05,0.22,12.07297166368705,0.0008250974518933956,0.7531191486903654
aggregation_algorithm_generalized,0.05,0.2,12.068271179062352,0.0008249684637178967,0.7530044058830566
aggregation_algorithm_generalized,0.15,0.6,12.067278260392905,0.0008249412101497664,0.7529369751314091
aggregation_algorithm_generalized,0.125,0.5,12.056056391107163,0.0008246330370136384,0.7526528667640486
aggregation_algorithm_generalized,0.075,0.3,12.054566204912586,0.0008245920921910398,0.7526343638644103
aggregation_algorithm_generalized,0.1,0.4,12.051352558943847,0.0008245037758175253,0.7525397323965419
aggregation_algorithm_generalized,0.075,0.25,12.040356909611564,0.0008242014187137318,0.7522794497182999
aggregation_algorithm_generalized,0.2,0.6,12.037356758854642,0.0008241188729637315,0.7521606106502428
aggregation_algorithm_generalized,0.15,0.5,12.035855939783332,0.0008240775719064077,0.7521298549546264
aggregation_algorithm_generalized,0.075,0.22,12.030708948170265,0.0008239358926582181,0.7520407954851139
aggregation_algorithm_generalized,0.075,0.2,12.02370274184318,0.0008237429380841827,0.7518689719188366
aggregation_algorithm_generalized,0.125,0.4,12.024933211264303,0.0008237768339912508,0.7518573848012174
aggregation_algorithm_generalized,0.1,0.3,12.020373484285468,0.0008236512091845939,0.7517552467545195
aggregation_algorithm_generalized,0.1,0.25,12.001527550140493,0.0008231314798051053,0.7512826933855843
aggregation_algorithm_generalized,0.15,0.4,11.998646807044533,0.0008230519633487266,0.7511764489893196
aggregation_algorithm_generalized,0.2,0.5,11.995714400216945,0.0008229710012207538,0.7510868792306848
aggregation_algorithm_generalized,0.1,0.22,11.98873822210017,0.0008227783132318241,0.7509649670169709
aggregation_algorithm_generalized,0.125,0.3,11.986383720711121,0.0008227132545873587,0.750878056981262
aggregation_algorithm_generalized,0.1,0.2,11.979454881932217,0.0008225217255081661,0.7507362419760318
aggregation_algorithm_generalized,0.3,0.6,11.978162648969711,0.0008224859929531881,0.7506162804057931
aggregation_algorithm_generalized,0.125,0.25,11.962948977914222,0.00082206501761802,0.750288168753733
aggregation_algorithm_generalized,0.15,0.3,11.952593645348422,0.0008217781703475265,0.7500027495716486
aggregation_algorithm_generalized,0.125,0.22,11.94705394786714,0.000821624616238617,0.7498915875508868
aggregation_algorithm_generalized,0.2,0.4,11.946465776205418,0.0008216083086086223,0.7498187147742165
aggregation_algorithm_generalized,0.125,0.2,11.935521277816596,0.000821304715215485,0.7496061297966271
aggregation_algorithm_generalized,0.15,0.25,11.924616743963824,0.0008210019534239756,0.7492958144219095
aggregation_algorithm_generalized,0.3,0.5,11.916441500143858,0.0008207747880757103,0.7490127201922326
aggregation_algorithm_generalized,0.15,0.22,11.905650738575092,0.0008204747066552036,0.7488205827664091
aggregation_algorithm_generalized,0.15,0.2,11.89189578552642,0.0008200917991677033,0.7484785507916645
aggregation_algorithm_generalized,0.2,0.3,11.885599859703108,0.0008199163867297342,0.7482576052301243
aggregation_algorithm_generalized,0.5,0.6,11.86224591114936,0.0008192649036780249,0.747559155831678
