algorithm,beta,delta,ridge_const,final_wealth,exp_growth,sharpe
follow_the_regularized_leader,0.09,0.925,0.0075,52.63625120924731,0.00131282049316042,1.1369973636646737
follow_the_regularized_leader,0.07,0.85,0.01,50.34871247713136,0.001298103029937212,1.0986784698786871
follow_the_regularized_leader,0.075,0.925,0.01,90.08595938409545,0.0014908129575277001,1.092732433132992
follow_the_regularized_leader,0.075,0.9,0.01,39.45648542933382,0.001217356220589978,1.0901665819215383
follow_the_regularized_leader,0.05,0.85,0.015,74.89742344003778,0.0014296520337634927,1.084106032293869
follow_the_regularized_leader,0.06,0.85,0.0125,43.71000806442632,0.0012512676692194883,1.077448964988478
follow_the_regularized_leader,0.08,0.95,0.01,32.18289257901838,0.0011498625455455,1.0766336902559384
follow_the_regularized_leader,0.06,0.875,0.0125,91.33733177593895,0.001495382442971309,1.0719796390121341
follow_the_regularized_leader,0.07,0.875,0.01,101.84343492173944,0.0015314464002289855,1.0498669811226418
follow_the_regularized_leader,0.1,0.85,0.005,31.830419267688463,0.0011462147775088618,1.0480277832110563
follow_the_regularized_leader,0.05,0.875,0.015,97.65637206338833,0.001517540546306423,1.027690608675291
follow_the_regularized_leader,0.1,0.85,0.015,13.323613936038948,0.0008577469177979505,1.0224931417289127
follow_the_regularized_leader,0.06,0.95,0.015,22.219626202872952,0.0010271533492934783,1.0201435034743165
follow_the_regularized_leader,0.09,0.875,0.0075,18.314754249183977,0.0009631357993152642,1.013213252337837
follow_the_regularized_leader,0.1,0.95,0.0075,17.366226568433547,0.0009455208076254313,1.0103605360426091
follow_the_regularized_leader,0.1,0.875,0.015,12.80795536984937,0.0008446725707637198,1.0102292130187787
follow_the_regularized_leader,0.09,0.9,0.0075,19.813165921470297,0.000989184055068224,1.0039863071655184
follow_the_regularized_leader,0.09,0.85,0.0075,16.305425663336703,0.0009246432312711441,1.003089766244033
follow_the_regularized_leader,0.1,0.9,0.015,12.36130782347479,0.0008329152889674406,0.9991556371981111
follow_the_regularized_leader,0.07,0.95,0.0125,18.173345114415,0.0009605683890102769,0.9968531182164262
follow_the_regularized_leader,0.1,0.925,0.0075,15.523857310556279,0.0009083729784451522,0.9959659759678359
follow_the_regularized_leader,0.1,0.85,0.0125,12.196474477218795,0.0008284686759523299,0.9943370784111274
follow_the_regularized_leader,0.1,0.925,0.015,11.93018951825095,0.0008211567147528032,0.9872103325050843
follow_the_regularized_leader,0.09,0.85,0.015,11.739605396143393,0.0008158225246512848,0.9813060875862607
follow_the_regularized_leader,0.1,0.875,0.0125,11.748289946596104,0.0008160674705328929,0.9801548701846832
follow_the_regularized_leader,0.1,0.9,0.0075,13.87740935875434,0.0008712362676499869,0.9776029171363171
follow_the_regularized_leader,0.08,0.875,0.01,14.195065505379684,0.00087873282696061,0.976998642455609
follow_the_regularized_leader,0.08,0.9,0.01,14.90390948575024,0.0008948736535705064,0.9755641153494417
follow_the_regularized_leader,0.075,0.85,0.01,14.90837001246031,0.0008949727727837059,0.9737617654980039
follow_the_regularized_leader,0.1,0.95,0.015,11.496170594078603,0.0008088817449804127,0.9733408217990757
follow_the_regularized_leader,0.1,0.875,0.0075,12.914336122021838,0.0008474123953590935,0.9711852108490626
follow_the_regularized_leader,0.09,0.95,0.01,13.130834205194148,0.00085291925160117,0.9657903399859591
follow_the_regularized_leader,0.1,0.9,0.0125,11.324056373948292,0.0008038851757233928,0.965170159777449
follow_the_regularized_leader,0.09,0.875,0.015,11.258829118008531,0.0008019717228676244,0.9649804983745005
follow_the_regularized_leader,0.08,0.85,0.01,13.01910130964872,0.0008500886421204587,0.9642392531150326
follow_the_regularized_leader,0.1,0.85,0.0075,12.21670299755042,0.0008290175930900114,0.9641363805691954
follow_the_regularized_leader,0.1,0.85,0.01,11.319695176340607,0.0008037575834804138,0.9606314778772923
follow_the_regularized_leader,0.05,0.925,0.005,129.527210291726,0.0016110934008448843,0.9576863375709765
follow_the_regularized_leader,0.05,0.95,0.005,133.77526672119808,0.0016217824703543852,0.9567897885673372
