algorithm,learning_rate,base_experts,final_wealth,exp_growth,sharpe
online_gradient_update_meta,0.2,"['pamr', 'anticor']",66.16789393199188,0.0013886039613705465,1.1339992058497457
online_gradient_update_meta,2.0,"['cwmr', 'follow_the_regularized_leader']",70.17401215424556,0.0014080748742162587,1.1299206984957098
online_gradient_update_meta,0.01,"['follow_the_regularized_leader', 'anticor']",38.77016412541102,0.001211543883730845,1.1280445790590266
online_gradient_update_meta,0.1,"['pamr', 'anticor']",63.678765500002775,0.001375902999455382,1.127823891824096
online_gradient_update_meta,1.0,"['cwmr', 'follow_the_regularized_leader', 'anticor']",54.88079743365588,0.0013266523729078199,1.1272564096111743
online_gradient_update_meta,0.1,"['follow_the_regularized_leader', 'anticor']",38.720900294635726,0.0012111227272438268,1.1229249262016006
online_gradient_update_meta,0.01,"['pamr', 'anticor']",61.48548369061618,0.0013642931796622288,1.1218919432712802
online_gradient_update_meta,0.2,"['follow_the_regularized_leader', 'anticor']",38.65863811396029,0.0012105896806543035,1.1170072186247926
online_gradient_update_meta,0.3,"['follow_the_regularized_leader', 'anticor']",38.59122863134335,0.0012100115975880955,1.1109083894829188
online_gradient_update_meta,0.1,"['cwmr', 'anticor']",49.36645086295655,0.0012915770325108442,1.0973484297099472
online_gradient_update_meta,0.2,"['cwmr', 'anticor']",50.05800539716898,0.0012961849754774086,1.097048126711794
online_gradient_update_meta,0.01,"['cwmr', 'anticor']",48.7241992669432,0.0012872394208471572,1.096930989608082
online_gradient_update_meta,0.3,"['cwmr', 'anticor']",50.73495551015056,0.0013006343593322948,1.0961093124205923
online_gradient_update_meta,2.0,"['cwmr', 'anticor']",63.36525180413346,0.0013742681789976605,1.091264041785452
online_gradient_update_meta,2.0,"['cwmr', 'follow_the_regularized_leader', 'anticor']",58.13741665937501,0.0013457467575489451,1.0907605879468667
online_gradient_update_meta,1.0,"['cwmr', 'anticor']",55.68311171023602,0.0013314597217837446,1.0861186807572658
online_gradient_update_meta,1.0,"['follow_the_regularized_leader', 'anticor']",38.19536705843487,0.001206596299127051,1.0681381360586633
online_gradient_update_meta,2.0,"['follow_the_regularized_leader', 'anticor']",38.57834019453146,0.0012099009553226245,1.025338586588395
